id,title,subtitle,publication date,genres,naver rating,imdb rating,vote_count,critic_rating,director,actor,review
27205,인셉션,Inception,2010,액션 스릴러 SF 미스터리 어드벤쳐,9.23,8.1,14075,4,크리스토퍼놀란,레오나르도디카프리오 와타나베켄 조셉고든레빗 마리옹꼬띠아르 엘리엇페이지 톰하디, 플롯을 루빅스 큐브처럼 자유자재로 갖고 논다.
155,다크 나이트,The Dark Knight,2008,드라마 액션 범죄 스릴러,9.33,8.3,12269,5,크리스토퍼놀란,크리스찬베일 히스레저 아론에크하트, 내러티브와 스타일을 완벽히 장악한 자의 눈부신 활
19995,아바타,Avatar,2009,액션 어드벤쳐 판타지 SF,9.07,7.2,12114,4.5,제임스카메론,샘워싱턴 조샐다나 시고니위버 스티븐랭, 블록버스터 역사의 새 이정표 (아브라카다바타!).
24428,어벤져스,The Avengers,2012,SF 액션 어드벤쳐,8.8,7.4,12000,4,조스웨던,로버트다우니주니어 스칼릿조핸슨 크리스헴스워스 크리스에반스 마크러팔로 제레미레너 사무엘l잭슨 톰히들스턴, 무엇보다 탁월한 캐릭터 코미디.
293660,데드풀,Deadpool,2016,액션 어드벤쳐 코미디,8.2,7.4,11444,3.5,팀밀러,라이언레이놀즈, 구강 액션의 진경.
157336,인터스텔라,Interstellar,2014,어드벤쳐 드라마 SF,9.1,8.1,11187,4,크리스토퍼놀란,매튜맥커너히 앤해서웨이 마이클케인 제시카차스테인, SF를 향한 놀런의 웅대한 꿈. 그 한가운데 자리한 가족영화의 간절한 순간.
550,파이트 클럽,Fight Club,1999,드라마,8.79,8.3,9678,4.5,데이빗핀처,브래드피트 에드워드노튼 헬레나본햄카터,현대문명의 허상을 조롱하는 통렬한 블랙코미디.
603,매트릭스,The Matrix,1999,액션 SF,9.4,7.9,9079,5,릴리워쇼스키 라나워쇼스키,키아누리브스 로렌스피시번,"현대의 창의성은 무에서 유를 창조하는 것이 아니라, 비범하게 선택해서 독창적으로 배열하는 능력."
1726,아이언맨,Iron Man,2008,액션 SF 어드벤쳐,8.92,7.4,8951,3.5,존파브로,로버트다우니주니어 테렌스하워드 제프브리지스 기네스팰트로, 2008년 여름 블럭버스터 1번 타자의 깔끔한 1루타.
68721,아이언맨 3,Iron Man 3,2013,액션 어드벤쳐 SF,8.86,6.8,8951,3.5,셰인블랙,로버트다우니주니어 기네스팰트로 벤킹슬리 돈치들 가이피어스 레베카홀, 볼거리든 메시지든 명확히 핵심을 담아낼 줄 안다.
135397,쥬라기 월드,Jurassic World,2015,액션 어드벤쳐 SF 스릴러,7.88,6.5,8842,3,콜린트레보로우,크리스프랫 브라이스달라스하워드 빈센트도노프리오 타이심킨스 닉로빈슨, 그저 시리즈 1편만 하염없이 바라본다.
680,펄프 픽션,Pulp Fiction,1994,스릴러 범죄,8.78,8.3,8670,4.5,쿠엔틴타란티노,존트라볼타 사무엘L.잭슨 우마서먼 하비케이틀 팀로스 아만다플러머 마리아드메데이로스 빙라메스 에릭스톨츠 로잔나아퀘트 크리스토퍼월켄 브루스윌리스,
278,쇼생크 탈출,The Shawshank Redemption,1994,드라마 범죄,9.46,8.5,8358,4,프랭크다라본트,팀로빈스 모건프리먼,
13,포레스트 검프,Forrest Gump,1994,코미디 드라마 로맨스,9.42,8.2,8147,3.5,로버트저메키스,톰행크스,
597,타이타닉,Titanic,1997,드라마 로맨스 스릴러,9.41,7.5,7770,4.5,제임스카메론,레오나르도디카프리오 케이트윈슬렛,
297761,수어사이드 스쿼드,Suicide Squad,2016,액션 어드벤쳐 범죄 판타지 SF,6.97,5.9,7717,1.5,데이비드에이어,마고로비 윌스미스 자레드레토 카라델레바인 제이코트니, 손안에 쥔 것의 진짜 매력을 모르는 듯한 제작진. 쿨하고 도발적이어야 할 영화를 칙칙하고 엉뚱하게 끌고 간다.
272,배트맨 비긴즈,Batman Begins,2005,액션 범죄 드라마,8.94,7.5,7511,3.5,크리스토퍼놀란,크리스찬베일 마이클케인 리암니슨 케이티홈즈 게리올드만 킬리언머피 톰윌킨슨 룻거하우어 와타나베켄 마크분주니어 라이너스로체 모건프리먼,
286217,마션,The Martian,2015,드라마 어드벤쳐 SF,8.42,7.6,7442,4,리들리스콧,크리스틴위그 제시카차스테인 맷데이먼 케이트마라 제프다니엘스 세바스찬스탠, 하나를 위한 전체. 세상에서 가장 낙천적인 (SF)재난영화.
1771,퍼스트 어벤져,Captain America: The First Avenger,2011,액션 어드벤쳐 SF,7.77,6.6,7174,3,조존스톤,크리스에반스 토미리존스 휴고위빙 헤일리앳웰,
